"X","YCIMA","YBAIXO"
0,1,1000
0.398058,0,0
0.625447,0.466019,-0.135922
0.852836,1.03883,-0.252427
1.08022,1.21359,-0.203883
1.30761,1.06796,-0.116505
1.535,1.4466,-0.436893
1.76239,1.46602,-0.553398
1.98978,1.51456,-0.84466
2.21717,1.17476,-1.52427
2.44456,1.26214,-1.71845
2.67195,1.25243,-2.97087
2.89934,1.4466,-2.73786
3.12672,1.02913,-2.36893
3.35411,0.941748,-1.82524
3.5815,0.815534,-1.71845
3.80889,0.708738,-1.64078
4.03628,0.679612,-1.52427
4.26367,0.631068,-1
4.49106,0.446602,-0.281553
4.71845,0,0
