"X","YCIMA","YBAIXO"
0,1,200
0.928571,0,0
1.22556,0.619048,-1.41667
1.52256,0.583333,-2.08333
1.81955,0.607143,-2.09524
2.11654,0.642857,-1.96429
2.41353,0.571429,-1.86905
2.71053,0.52381,-1.66667
3.00752,0.5,-1.66667
3.30451,0.333333,-1.57143
3.6015,0.666667,-1.42857
3.8985,1.0119,-1.33333
4.19549,1.14286,-1.28571
4.49248,1.29762,-1
4.78947,1.33333,-0.880952
5.08647,1.36905,-0.809524
5.38346,1.39286,-0.714286
5.68045,1.4881,-0.607143
5.97744,1.52381,-0.47619
6.27444,0.904762,0.0714286
6.57143,0,0
