"X","YCIMA","YBAIXO"
0,1,200
0.985294,0,0
1.33514,0.0294118,-2.88235
1.68498,0.838235,-2.94118
2.03483,1.25,-3.01471
2.38468,1.35294,-3.52941
2.73452,1.30882,-4.01471
3.08437,1.19118,-4.05882
3.43421,0.911765,-4.04412
3.78406,1.07353,-3.98529
4.1339,0.970588,-3.89706
4.48375,0.720588,-3.20588
4.83359,0.808824,-2.82353
5.18344,1.01471,-2.54412
5.53328,1.11765,-2.70588
5.88313,1.10294,-2.83824
6.23297,0.970588,-2.08824
6.58282,1.11765,-1.55882
6.93266,1.29412,-0.794118
7.28251,1.01471,-0.0882353
7.63235,0,0
