"X","YCIMA","YBAIXO"
0,1,100
0.410526,0,0
0.682548,1.03158,-1.65263
0.954571,2.51579,-1.93684
1.22659,2.87368,-1.96842
1.49862,2.74737,-1.98947
1.77064,2.95789,-2.04211
2.04266,2.93684,-2.28421
2.31468,2.55789,-2.4
2.5867,2.38947,-2.53684
2.85873,2.04211,-2.36842
3.13075,2.14737,-2.35789
3.40277,1.84211,-2.43158
3.67479,1.67368,-2.49474
3.94681,1.49474,-2.51579
4.21884,1.34737,-2.35789
4.49086,1.04211,-2.25263
4.76288,0.926316,-2.03158
5.0349,0.484211,-1.66316
5.30693,0.168421,-0.315789
5.57895,0,0
